  SYNC    include/config/auto.conf.cmd
  HOSTCC  scripts/kconfig/conf.o
  HOSTLD  scripts/kconfig/conf
  HOSTCC  scripts/dtc/dtc.o
  HOSTCC  scripts/dtc/flattree.o
  HOSTCC  scripts/dtc/fstree.o
  HOSTCC  scripts/dtc/data.o
  HOSTCC  scripts/dtc/livetree.o
  HOSTCC  scripts/dtc/treesource.o
  UPD     include/config/kernel.release
  HOSTCC  scripts/dtc/srcpos.o
  UPD     include/generated/uapi/linux/version.h
  UPD     include/generated/utsrelease.h
  HOSTCC  scripts/dtc/checks.o
  HOSTCC  scripts/dtc/util.o
  LEX     scripts/dtc/dtc-lexer.lex.c
  YACC    scripts/dtc/dtc-parser.tab.[ch]
  HOSTCC  scripts/dtc/libfdt/fdt.o
  HOSTCC  scripts/dtc/libfdt/fdt_ro.o
  HOSTCC  scripts/dtc/libfdt/fdt_wip.o
  HOSTCC  scripts/dtc/libfdt/fdt_sw.o
  HOSTCC  scripts/dtc/libfdt/fdt_rw.o
  HOSTCC  scripts/dtc/libfdt/fdt_strerror.o
  HOSTCC  scripts/dtc/libfdt/fdt_empty_tree.o
  HOSTCC  scripts/dtc/libfdt/fdt_addresses.o
  HOSTCC  scripts/dtc/libfdt/fdt_overlay.o
  HOSTCC  scripts/dtc/fdtoverlay.o
  HOSTCC  scripts/dtc/dtc-lexer.lex.o
  HOSTCC  scripts/dtc/dtc-parser.tab.o
  HOSTLD  scripts/dtc/fdtoverlay
  HOSTLD  scripts/dtc/dtc
  HOSTCC  scripts/kallsyms
  HOSTCC  scripts/sorttable
  HOSTCC  scripts/asn1_compiler
  HOSTCC  scripts/genksyms/genksyms.o
  YACC    scripts/genksyms/parse.tab.[ch]
  LEX     scripts/genksyms/lex.lex.c
  HOSTCC  scripts/extract-cert
  HOSTCC  scripts/genksyms/parse.tab.o
  HOSTCC  scripts/genksyms/lex.lex.o
  HOSTLD  scripts/genksyms/genksyms
  GEN     arch/arm64/include/generated/asm/cpucaps.h
  CC      scripts/mod/empty.o
  HOSTCC  scripts/mod/mk_elfconfig
  CC      scripts/mod/devicetable-offsets.s
  UPD     scripts/mod/devicetable-offsets.h
  MKELF   scripts/mod/elfconfig.h
  HOSTCC  scripts/mod/modpost.o
  HOSTCC  scripts/mod/file2alias.o
  HOSTCC  scripts/mod/sumversion.o
  HOSTLD  scripts/mod/modpost
  CC      kernel/bounds.s
  CALL    scripts/atomic/check-atomics.sh
  UPD     include/generated/timeconst.h
  UPD     include/generated/bounds.h
  CC      arch/arm64/kernel/asm-offsets.s
  UPD     include/generated/asm-offsets.h
  CALL    scripts/checksyscalls.sh
  LDS     arch/arm64/kernel/vdso/vdso.lds
  CC      arch/arm64/kernel/vdso/vgettimeofday.o
  AS      arch/arm64/kernel/vdso/note.o
  AS      arch/arm64/kernel/vdso/sigreturn.o
  LD      arch/arm64/kernel/vdso/vdso.so.dbg
  VDSOSYM include/generated/vdso-offsets.h
  OBJCOPY arch/arm64/kernel/vdso/vdso.so
  CC      init/main.o
  CHK     include/generated/compile.h
  CC      init/do_mounts.o
  CC      init/do_mounts_rd.o
  CC      init/do_mounts_initrd.o
  HOSTCC  usr/gen_init_cpio
  UPD     include/generated/compile.h
  LDS     arch/arm64/kernel/vmlinux.lds
  AR      arch/arm64/kernel/probes/built-in.a
  AS      arch/arm64/kernel/head.o
  CC      kernel/sched/core.o
  CC      arch/arm64/mm/dma-mapping.o
  GEN     usr/initramfs_data.cpio
  SHIPPED usr/initramfs_inc_data
  AS      usr/initramfs_data.o
  AR      usr/built-in.a
  CC      arch/arm64/mm/extable.o
  CC      arch/arm64/kernel/debug-monitors.o
  CC      arch/arm64/mm/fault.o
  CC      init/initramfs.o
  CC      init/calibrate.o
  CC      init/init_task.o
  CC      arch/arm64/mm/init.o
  AS      arch/arm64/kernel/entry.o
  CC      arch/arm64/kernel/irq.o
  CC      arch/arm64/kernel/fpsimd.o
  CC      init/version.o
  CC      arch/arm64/kernel/entry-common.o
  AS      arch/arm64/mm/cache.o
  CC      arch/arm64/mm/copypage.o
  CC      arch/arm64/mm/flush.o
  CC      certs/system_keyring.o
  AR      init/built-in.a
  CC      mm/filemap.o
  CC      mm/mempool.o
  AS      arch/arm64/kernel/entry-fpsimd.o
  CC      arch/arm64/kernel/process.o
  EXTRACT_CERTS   
  CC      certs/common.o
  AS      certs/system_certificates.o
  CC      arch/arm64/kernel/ptrace.o
  AR      certs/built-in.a
  CC      arch/arm64/mm/ioremap.o
  CC      arch/arm64/mm/mmap.o
  CC      fs/notify/dnotify/dnotify.o
  CC      arch/arm64/mm/pgd.o
  AR      fs/notify/dnotify/built-in.a
  CC      fs/notify/inotify/inotify_fsnotify.o
  CC      arch/arm64/mm/mmu.o
  CC      mm/oom_kill.o
  CC      arch/arm64/mm/context.o
  CC      fs/notify/inotify/inotify_user.o
  CC      arch/arm64/kernel/setup.o
  CC      arch/arm64/kernel/signal.o
  CC      kernel/sched/loadavg.o
  CC      arch/arm64/kernel/sys.o
  AR      fs/notify/inotify/built-in.a
  CC      fs/notify/fanotify/fanotify.o
  AS      arch/arm64/mm/proc.o
  CC      arch/arm64/mm/pageattr.o
  CC      arch/arm64/mm/hugetlbpage.o
  CC      arch/arm64/kernel/stacktrace.o
  CC      mm/fadvise.o
  CC      arch/arm64/kernel/time.o
  CC      arch/arm64/mm/mteswap.o
  CC      arch/arm64/kernel/traps.o
  CC      fs/notify/fanotify/fanotify_user.o
  CC      arch/arm64/kernel/io.o
  CC      kernel/sched/clock.o
  CC      arch/arm64/kernel/vdso.o
  AR      arch/arm64/mm/built-in.a
  CC      mm/maccess.o
  AS      arch/arm64/kernel/hyp-stub.o
  CC      arch/arm64/kernel/psci.o
  CC      arch/arm64/kernel/cpu_ops.o
  CC      mm/page-writeback.o
  CC      mm/readahead.o
  AR      fs/notify/fanotify/built-in.a
  CC      fs/notify/fsnotify.o
  CC      mm/swap.o
  CC      mm/truncate.o
  CC      arch/arm64/kernel/return_address.o
  CC      kernel/sched/cputime.o
  CC      kernel/sched/idle.o
  CC      fs/notify/notification.o
  CC      arch/arm64/kernel/cpuinfo.o
  CC      mm/vmscan.o
  CC      mm/shmem.o
  CC      arch/arm64/kernel/cpu_errata.o
  CC      arch/arm64/kernel/cpufeature.o
  CC      fs/notify/group.o
  CC      fs/notify/mark.o
  CC      arch/arm64/kernel/alternative.o
  CC      arch/arm64/kernel/cacheinfo.o
  CC      kernel/sched/fair.o
  CC      arch/arm64/kernel/smp.o
  CC      fs/notify/fdinfo.o
  CC      mm/util.o
  CC      arch/arm64/kernel/smp_spin_table.o
  AR      fs/notify/built-in.a
  CC      fs/nfs_common/grace.o
  CC      kernel/locking/mutex.o
  CC      kernel/locking/semaphore.o
  CC      arch/arm64/kernel/topology.o
  CC      kernel/locking/rwsem.o
  CC      mm/mmzone.o
  CC      kernel/sched/rt.o
  CC      mm/vmstat.o
  CC      fs/nfs_common/nfs_ssc.o
  CC      kernel/locking/percpu-rwsem.o
  CC      mm/backing-dev.o
  AS      arch/arm64/kernel/smccc-call.o
  CC      arch/arm64/kernel/syscall.o
  CC      kernel/locking/spinlock.o
  CC      kernel/locking/osq_lock.o
  CC      kernel/locking/qspinlock.o
  CC      arch/arm64/kernel/proton-pack.o
  CC      kernel/locking/rtmutex_api.o
  CC      kernel/locking/spinlock_rt.o
  AR      fs/nfs_common/built-in.a
  CC      fs/iomap/trace.o
  CC      fs/iomap/buffered-io.o
  CC      kernel/locking/ww_rt_mutex.o
  CC      arch/arm64/kernel/idreg-override.o
  CC      mm/mm_init.o
  CC      kernel/sched/deadline.o
  CC      fs/iomap/direct-io.o
  CC      fs/iomap/fiemap.o
  CC      arch/arm64/kernel/idle.o
  CC      arch/arm64/kernel/patching.o
  CC      arch/arm64/kernel/sys32.o
  AR      kernel/locking/built-in.a
  CC      fs/iomap/iter.o
  CC      mm/percpu.o
  CC      arch/arm64/kernel/signal32.o
  CC      fs/iomap/seek.o
  CC      arch/arm64/kernel/sys_compat.o
  CC      fs/iomap/swapfile.o
  AS      arch/arm64/kernel/sigreturn32.o
  AS      arch/arm64/kernel/kuser32.o
  CC      arch/arm64/kernel/module.o
  CC      arch/arm64/kernel/module-plts.o
  CC      kernel/sched/wait.o
  CC      arch/arm64/kernel/perf_regs.o
  CC      arch/arm64/kernel/perf_callchain.o
  CC      arch/arm64/kernel/perf_event.o
  CC      arch/arm64/kernel/hw_breakpoint.o
  AS      arch/arm64/kernel/sleep.o
  CC      arch/arm64/kernel/suspend.o
  CC      arch/arm64/kernel/cpuidle.o
  AR      fs/iomap/built-in.a
  CC      fs/quota/dquot.o
  CC      arch/arm64/kernel/jump_label.o
  CC      arch/arm64/kernel/efi.o
  CC      kernel/sched/wait_bit.o
  AS      arch/arm64/kernel/efi-entry.o
  AS      arch/arm64/kernel/efi-rt-wrapper.o
  CC      arch/arm64/kernel/pci.o
  CC      arch/arm64/kernel/acpi.o
  CC      mm/slab_common.o
  CC      kernel/sched/swait.o
  CC      arch/arm64/kernel/acpi_numa.o
  CC      kernel/sched/completion.o
  CC      arch/arm64/kernel/paravirt.o
  CC      arch/arm64/kernel/kaslr.o
  CC      arch/arm64/kernel/machine_kexec.o
  CC      kernel/power/qos.o
  CC      kernel/power/main.o
  CC      mm/compaction.o
  CC      kernel/printk/printk.o
  CC      kernel/sched/cpupri.o
  CC      fs/quota/quota.o
  AS      arch/arm64/kernel/relocate_kernel.o
  AS      arch/arm64/kernel/cpu-reset.o
  CC      arch/arm64/kernel/machine_kexec_file.o
  CC      kernel/sched/cpudeadline.o
  CC      arch/arm64/kernel/kexec_image.o
  CC      kernel/power/console.o
  CC      kernel/sched/topology.o
  CC      kernel/power/process.o
  CC      fs/quota/kqid.o
  CC      arch/arm64/kernel/crash_dump.o
  CC      kernel/sched/stop_task.o
  CC      arch/arm64/kernel/crash_core.o
  AR      fs/quota/built-in.a
  CC      arch/arm64/kernel/pointer_auth.o
  CC      fs/proc/task_mmu.o
  CC      kernel/power/suspend.o
  CC      arch/arm64/kernel/mte.o
  CC      kernel/sched/pelt.o
  CC      mm/vmacache.o
  CC      kernel/printk/printk_safe.o
  AS      arch/arm64/kernel/vdso-wrap.o
  OBJCOPY arch/arm64/kernel/efi-entry.stub.o
  CC      kernel/printk/printk_ringbuffer.o
  CC      kernel/sched/autogroup.o
  CC      mm/interval_tree.o
  AR      arch/arm64/kernel/built-in.a
  CC      arch/arm64/net/bpf_jit_comp.o
  CC      arch/arm64/xen/../../arm/xen/enlighten.o
  CC      kernel/sched/cpuacct.o
  AR      kernel/printk/built-in.a
  CC      kernel/irq/irqdesc.o
  CC      fs/proc/inode.o
  CC      kernel/power/suspend_test.o
  CC      mm/list_lru.o
  CC      kernel/power/poweroff.o
  CC      fs/proc/root.o
  CC      fs/kernfs/mount.o
  CC      arch/arm64/xen/../../arm/xen/grant-table.o
  CC      kernel/power/energy_model.o
  CC      kernel/irq/handle.o
  CC      kernel/sched/cpufreq.o
  AR      arch/arm64/net/built-in.a
  CC      fs/proc/base.o
  CC      arch/arm64/xen/../../arm/xen/p2m.o
  CC      fs/proc/generic.o
  CC      fs/kernfs/inode.o
  CC      mm/workingset.o
  AR      kernel/power/built-in.a
  CC      kernel/rcu/update.o
  CC      kernel/irq/manage.o
  CC      fs/kernfs/dir.o
  CC      mm/debug.o
  CC      arch/arm64/xen/../../arm/xen/mm.o
  CC      kernel/sched/cpufreq_schedutil.o
  CC      kernel/rcu/sync.o
